data,instance,real,user,system,sameness
644044,adrc,119542.38,1197359.78,67.77,different
285345,adrc,147960.31,1480697.95,79.51,different
303119,adrc,157000.36,1573172.76,78.36,different
486759,adrc,171014.57,1712173.09,86.29,different
644044,G2.8xlarge,5447.41,13162.97,42470.77,different
285345,G2.8xlarge,6857.57,16958.8,52272.34,different
303119,G2.8xlarge,6875.5,17517.99,52784.46,different
486759,G2.8xlarge,7229.54,19602.74,53927.7,different
644044,G2.2xlarge,1464.57,10538.79,5301.3,different
285345,G2.2xlarge,1832.3,13185.73,6707.66,different
303119,G2.2xlarge,1854.24,14051.95,7155.49,different
486759,G2.2xlarge,2188.03,15130.3,8093.94,different
644044,adrc,147620.49,1478314.05,81.38,same
644044,adrc,147986.22,1482259.64,75.54,same
644044,adrc,147966.12,1481057.32,67.2,same
644044,adrc,147960.39,1480702.96,84.6,same
644044,G2.8xlarge,7257.58,17429.69,57829.6,same
644044,G2.8xlarge,7568.34,17613.44,58274.95,same
644044,G2.8xlarge,7579.07,17893.23,58602.84,same
644044,G2.8xlarge,7574.23,17845.86,58381.08,same
644044,G2.2xlarge,1832.33,13166.63,6730.3,same
644044,G2.2xlarge,1832.27,13177.77,6713.35,same
644044,G2.2xlarge,1832.3,13174.34,6719.19,same
644044,G2.2xlarge,1832.28,12849.37,7042.07,same
