data,instance,real,user,system,key
adni,M4.large,24673.02,24501.38,58.85,KEYID_Same1
adni,M4.4xlarge,29659.39,29397.14,68.91,KEYID_Same6
adni,M4.4xlarge,29703.78,29443.58,68.16,KEYID_Same7
adni,M4.4xlarge,30020.51,29761.88,67.6,KEYID_Same2
adni,M4.4xlarge,30081.09,29808.42,67.9,KEYID_Same3
adni,M4.4xlarge,30290.97,30028.3,68.2,KEYID_Same5
adni,M4.4xlarge,30354.29,30093.78,67.98,KEYID_Same8
adni,M4.4xlarge,30409.8,30147.41,67.77,KEYID_Same4
adni,M4.4xlarge,30487.1,30224.97,68.65,KEYID_Same1
adni,C4.xlarge,23015.74,22797.93,56.42,KEYID_Same1
adni,C4.xlarge,23112.03,22921.07,57.19,KEYID_Same2
adni,C4.8xlarge,28052.99,27680.27,81.03,KEYID_Same12
adni,C4.8xlarge,28053.22,27687.22,83.8,KEYID_Same13
adni,C4.8xlarge,28321.6,27968.65,79.9,KEYID_Same4
adni,C4.8xlarge,28431.21,28065.93,80.14,KEYID_Same2
adni,C4.8xlarge,28440.56,28096.72,80.65,KEYID_Same5
adni,C4.8xlarge,28595.73,28237.74,83.24,KEYID_Same6
adni,C4.8xlarge,28638.5,28282.34,81.55,KEYID_Same14
adni,C4.8xlarge,28653.48,28297.76,80.29,KEYID_Same11
adni,C4.8xlarge,28675.29,28329.96,81.52,KEYID_Same1
adni,C4.8xlarge,28896.42,28536.58,86.78,KEYID_Same18
adni,C4.8xlarge,29025.4,28663.15,88.14,KEYID_Same8
adni,C4.8xlarge,29026.81,28664.08,87.93,KEYID_Same9
adni,C4.8xlarge,29058.81,28698.95,87.8,KEYID_Same3
adni,C4.8xlarge,29156.64,28796.17,87.61,KEYID_Same15
adni,C4.8xlarge,29168.86,28805.6,89.29,KEYID_Same17
adni,C4.8xlarge,29170.45,28806.24,89.58,KEYID_Same7
adni,C4.8xlarge,29176.53,28813.19,88.6,KEYID_Same16
adni,C4.8xlarge,29224.45,28856.29,89.34,KEYID_Same10
