data,instance,real,user,system,ID,sameness
ibic-highres,tpp,86188.26,84346.14,776.24,1,same
ibic-highres,tpp,83832,82412.34,434.72,2,same
ibic-highres,tpp,83185.5,81768.26,502.08,3,same
ibic-highres,tpp,78846.86,76904.28,981.09,4,same
ibic-highres,tpp,81340.54,79906.5,523.85,5,same
ibic-highres,tpp,79987.88,78461.31,537.11,6,same
ibic-highres,tpp,82687.51,81240.02,622.04,7,same
ibic-highres,tpp,86649.44,85107.96,533.49,8,same
ibic-highres,tpp,86808.39,85459.19,554.48,9,same
ibic-highres,tpp,80369.3,78685.46,583.34,10,same
ibic-highres,tpp,82643.93,81146.22,554.59,11,same
ibic-highres,tpp,79996.88,78647.16,535.99,12,same
ibic-highres,tpp,82010.35,80621.5,505.86,13,same
ibic-highres,tpp,88037.49,86664.66,518.4,14,same
ibic-highres,tpp,88952.43,87663.31,534.98,15,same
ibic-highres,tpp,85343.67,83911.57,516.56,16,same
ibic-highres,tpp,81881.01,80289.84,657.02,17,same
ibic-highres,tpp,80022.35,78562.24,515.34,18,same
ibic-highres,tpp,80188.4,78460.28,500.8,19,same
ibic-highres,tpp,85697.04,84323.47,517.76,20,same
ibic-highres,tpp,78122.9,76472.68,557.48,21,same
ibic-highres,tpp,87073.67,85629.48,513,22,same
ibic-highres,tpp,84422.54,83031.96,543.43,23,same
ibic-highres,tpp,85882.12,84290.04,653.94,24,same
ibic-highres,tpp,67755.18,67252.6,339.36,25,same
ibic-highres,tpp,71863.42,71362.82,333.93,26,same
ibic-highres,tpp,70709.1,70201.22,342.65,27,same
ibic-highres,tpp,67858.92,67326.22,352.24,28,same
ibic-highres,tpp,72692.91,72176.95,345.58,29,same
ibic-highres,tpp,70056.23,69557.74,337.91,30,same
ibic-highres,tpp,68692,68194.04,339.67,31,same
ibic-highres,tpp,70691.26,70179.38,337.86,32,same
ibic-highres,tpp,69826.8,69323.26,357.12,33,same
ibic-highres,tpp,69599.65,69112.67,343.17,34,same
ibic-highres,tpp,68792.69,68288.14,343.82,35,same
ibic-highres,tpp,69226.78,68707.44,364.48,36,same

