data,instance,real,user,system,ID,sameness
ibic-highres,tpp,86188.26,84346.14,776.24,1,same
ibic-highres,tpp,83832,82412.34,434.72,2,same
ibic-highres,tpp,83185.5,81768.26,502.08,3,same
ibic-highres,tpp,78846.86,76904.28,981.09,4,same
ibic-highres,tpp,81340.54,79906.5,523.85,5,same
ibic-highres,tpp,79987.88,78461.31,537.11,6,same
ibic-highres,tpp,82687.51,81240.02,622.04,7,same
ibic-highres,tpp,86649.44,85107.96,533.49,8,same
ibic-highres,tpp,86808.39,85459.19,554.48,9,same
ibic-highres,tpp,80369.3,78685.46,583.34,10,same
ibic-highres,tpp,82643.93,81146.22,554.59,11,same
ibic-highres,tpp,79996.88,78647.16,535.99,12,same
ibic-highres,tpp,82010.35,80621.5,505.86,13,same
ibic-highres,tpp,88037.49,86664.66,518.4,14,same
ibic-highres,tpp,88952.43,87663.31,534.98,15,same
ibic-highres,tpp,85343.67,83911.57,516.56,16,same
ibic-highres,tpp,81881.01,80289.84,657.02,17,same
ibic-highres,tpp,80022.35,78562.24,515.34,18,same
ibic-highres,tpp,80188.4,78460.28,500.8,19,same
ibic-highres,tpp,85697.04,84323.47,517.76,20,same
ibic-highres,tpp,78122.9,76472.68,557.48,21,same
ibic-highres,tpp,87073.67,85629.48,513,22,same
ibic-highres,tpp,84422.54,83031.96,543.43,23,same
ibic-highres,tpp,85882.12,84290.04,653.94,24,same
ibic-highres,tpp,67755.18,67252.6,339.36,25,same
ibic-highres,tpp,71863.42,71362.82,333.93,26,same
ibic-highres,tpp,70709.1,70201.22,342.65,27,same
ibic-highres,tpp,67858.92,67326.22,352.24,28,same
ibic-highres,tpp,72692.91,72176.95,345.58,29,same
ibic-highres,tpp,70056.23,69557.74,337.91,30,same
ibic-highres,tpp,68692,68194.04,339.67,31,same
ibic-highres,tpp,70691.26,70179.38,337.86,32,same
ibic-highres,tpp,69826.8,69323.26,357.12,33,same
ibic-highres,tpp,69599.65,69112.67,343.17,34,same
ibic-highres,tpp,68792.69,68288.14,343.82,35,same
ibic-highres,tpp,69226.78,68707.44,364.48,36,same
ibic-highres,tpp,78355.92,77038.56,485.35,101054,different
ibic-highres,tpp,83906.27,82598.17,564.32,101075,different
ibic-highres,tpp,69138.83,67913.47,483.31,101183,different
ibic-highres,tpp,76247.34,74916.12,567.94,101191,different
ibic-highres,tpp,61153.46,59878.35,462.12,101193,different
ibic-highres,tpp,75737.10,74441.38,494.96,101206,different
ibic-highres,tpp,67860.17,66599.36,440.07,101241,different
ibic-highres,tpp,77971.33,76535.62,587.82,101257,different
ibic-highres,tpp,67359.17,66108.64,486.70,101269,different
ibic-highres,tpp,76321.81,75030.18,468.27,101310,different
ibic-highres,tpp,78358.91,77083.46,474.52,101317,different
ibic-highres,tpp,79963.88,78652.04,480.08,101324,different
ibic-highres,tpp,79195.61,77875.79,513.14,107000,different
ibic-highres,tpp,66297.42,64603.17,971.34,107003,different
ibic-highres,tpp,86795.14,85504.19,480.79,107004,different
ibic-highres,tpp,65959.27,64353.23,471.77,107008,different
ibic-highres,tpp,64572.58,62384.87,1341.46,107010,different
ibic-highres,tpp,73045.87,71683.42,641.68,107011,different
ibic-highres,tpp,85190.90,83933.36,477.68,107013,different
ibic-highres,tpp,85071.53,83697.17,476.61,107014,different
ibic-highres,tpp,71594.53,70305.46,442.98,107017,different
ibic-highres,tpp,71618.12,70368.58,521.26,107019,different
ibic-highres,tpp,72468.33,71296.27,443.48,107020,different
ibic-highres,tpp,68451.70,67012.36,451.26,107022,different
