data,instance,real,user,system,part
ibic-highres,C4.8xlarge,45611.25,45518.24,90.93,B
ibic-highres,C4.8xlarge,46836.00,46741.20,92.63,B
ibic-highres,C4.8xlarge,46962.62,46868.80,91.93,B
ibic-highres,C4.8xlarge,47957.92,47858.12,97.96,B
ibic-highres,C4.8xlarge,49471.22,49376.17,93.10,B
ibic-highres,C4.8xlarge,49669.32,49571.81,95.45,B
ibic-highres,C4.8xlarge,49835.35,49738.31,94.55,B
ibic-highres,C4.8xlarge,50451.35,50354.70,94.60,B
ibic-highres,C4.8xlarge,50861.82,50769.94,89.80,B
ibic-highres,C4.8xlarge,51049.34,50955.43,91.70,B
ibic-highres,C4.8xlarge,52336.36,52237.19,97.15,B
ibic-highres,C4.8xlarge,52690.41,52586.56,101.70,B
ibic-highres,C4.8xlarge,53534.68,53432.45,100.11,B
ibic-highres,C4.8xlarge,53642.93,53541.56,98.89,B
ibic-highres,C4.8xlarge,55208.26,55094.38,111.46,B
ibic-highres,C4.8xlarge,55937.97,55823.62,112.17,B
ibic-highres,C4.8xlarge,57569.64,57450.63,116.46,B
ibic-highres,C4.8xlarge,58102.32,57986.77,113.06,B
ibic-highres,C4.8xlarge,59276.55,59158.92,115.41,B
ibic-highres,C4.xlarge,48956.35,48890.26,58.75,B
ibic-highres,C4.xlarge,53975.73,53903.84,63.58,B
ibic-highres,C4.xlarge,56293.88,56220.96,63.89,B
ibic-highres,C4.xlarge,56855.27,56784.16,63.38,B
ibic-highres,M4.4xlarge,49716.92,49647.54,63.69,B
ibic-highres,M4.4xlarge,50636.05,50564.29,65.86,B
ibic-highres,M4.4xlarge,53488.96,53419.79,62.64,B
ibic-highres,M4.4xlarge,53811.77,53741.97,64.36,B
ibic-highres,M4.4xlarge,56105.21,56031.69,68.42,B
ibic-highres,M4.4xlarge,58293.96,58218.80,67.74,B
ibic-highres,M4.4xlarge,60807.89,60735.02,67.39,B
ibic-highres,M4.4xlarge,62742.87,62667.22,70.08,B
ibic-highres,M4.4xlarge,65462.84,65384.93,71.66,B
ibic-highres,M4.4xlarge,65719.09,65641.59,72.01,B
ibic-highres,M4.4xlarge,65948.20,65872.08,71.37,B
ibic-highres,M4.4xlarge,66597.95,66520.54,71.44,B
ibic-highres,M4.4xlarge,67073.23,66994.76,72.96,B
ibic-highres,M4.4xlarge,67998.30,67917.91,74.30,B
ibic-highres,M4.4xlarge,70704.12,70621.11,77.06,B
ibic-highres,M4.4xlarge,71043.81,70961.39,76.61,B
ibic-highres,M4.large,78258.32,78079.95,150.57,B
ibic-highres,M4.large,84384.34,84204.61,153.38,B
ibic-highres,C4.8xlarge,65376.02,64881.74,189.85,A
ibic-highres,C4.8xlarge,65390.68,64862.23,203.55,A
ibic-highres,C4.8xlarge,65453.02,64957.60,188.88,A
ibic-highres,C4.8xlarge,65798.83,65305.15,191.01,A
ibic-highres,C4.8xlarge,65868.10,65390.76,178.14,A
ibic-highres,C4.8xlarge,65916.99,65386.49,211.65,A
ibic-highres,C4.8xlarge,66009.66,65485.50,206.90,A
ibic-highres,C4.8xlarge,66010.02,65456.05,201.32,A
ibic-highres,C4.8xlarge,66057.92,65509.09,206.37,A
ibic-highres,C4.8xlarge,66209.83,65696.29,201.25,A
