data,instance,real,user,system,ID
ibic-highres,C4.8xlarge,97744.86,97225.58,386.08,110634
ibic-highres,C4.8xlarge,99234.68,98714.78,381.45,111054
ibic-highres,C4.8xlarge,99503.97,98987.66,379.28,107022
ibic-highres,C4.8xlarge,99648.51,99121.54,391.82,110124
ibic-highres,C4.8xlarge,99870.30,99310.12,425.19,110660
ibic-highres,C4.8xlarge,100028.07,99480.99,414.28,107003
ibic-highres,C4.8xlarge,100032.64,99435.32,465.75,105172
ibic-highres,C4.8xlarge,100062.42,99501.61,422.27,117022
ibic-highres,C4.8xlarge,100319.49,99714.26,429.28,111241
ibic-highres,C4.8xlarge,100412.79,99903.44,370.22,111191
ibic-highres,C4.8xlarge,100422.85,99843.19,428.16,115172
ibic-highres,C4.8xlarge,100451.79,99832.88,451.26,100798
ibic-highres,C4.8xlarge,100526.06,99995.80,392.23,107013
ibic-highres,C4.8xlarge,100541.06,99916.53,487.82,107011
ibic-highres,C4.8xlarge,100551.61,100036.30,381.17,117014
ibic-highres,C4.8xlarge,100704.95,100147.30,412.88,110798
ibic-highres,C4.8xlarge,100733.77,100148.16,443.88,117013
ibic-highres,C4.8xlarge,100736.91,100119.57,465.38,100124
ibic-highres,C4.8xlarge,100761.69,100187.80,429.80,107010
ibic-highres,C4.8xlarge,100782.58,100237.29,408.94,100660
ibic-highres,C4.8xlarge,100818.95,100232.44,444.08,101054
ibic-highres,C4.8xlarge,100820.92,100298.91,386.45,101191
ibic-highres,C4.8xlarge,100846.25,100286.30,423.29,107014
ibic-highres,C4.8xlarge,100857.83,100300.91,420.91,117010
ibic-highres,C4.8xlarge,100925.49,100334.31,451.66,107008
ibic-highres,C4.8xlarge,100940.89,100408.94,392.28,100634
ibic-highres,C4.xlarge,69837.25,69651.86,152.65,100124
ibic-highres,C4.xlarge,79174.30,78984.21,156.53,100660
ibic-highres,C4.xlarge,79419.46,79232.89,153.08,100634
ibic-highres,M4.4xlarge,129688.26,129377.07,251.08,101191
ibic-highres,M4.4xlarge,130705.63,130390.72,245.79,100660
ibic-highres,M4.4xlarge,131579.71,131276.34,244.74,105172
ibic-highres,M4.4xlarge,132119.95,131815.04,238.57,107003
ibic-highres,M4.4xlarge,132280.38,131975.83,238.20,107008
ibic-highres,M4.4xlarge,132356.09,132047.94,242.06,100634
ibic-highres,M4.4xlarge,132375.74,132068.86,236.53,101054
ibic-highres,M4.4xlarge,132406.45,132100.81,239.32,107013
ibic-highres,M4.4xlarge,132449.65,132149.97,233.69,101241
ibic-highres,M4.4xlarge,132502.42,132199.41,237.97,107014
ibic-highres,M4.4xlarge,132507.52,132198.55,233.35,100798
ibic-highres,M4.4xlarge,132578.13,132274.96,231.12,101075
ibic-highres,M4.4xlarge,132672.83,132378.57,233.88,107010
ibic-highres,M4.4xlarge,132769.05,132472.13,232.06,107011
ibic-highres,M4.4xlarge,132801.72,132506.54,232.46,107000
ibic-highres,M4.4xlarge,132818.60,132518.15,230.73,100124
ibic-highres,M4.large,88673.67,88421.87,158.51,100124
ibic-highres,M4.large,88793.21,88549.22,159.03,100634
