data,instance,real,user,system,ID,sameness
adni,M4.large,37323.32,37219.01,74.87,KEYID_Diff2,different
adni,M4.large,40230.09,40126.76,72.19,KEYID_Diff1,different
adni,M4.4xlarge,41315.88,41197.44,91.29,KEYID_Diff14,different
adni,M4.4xlarge,41549.63,41423.57,97.95,KEYID_Diff16,different
adni,M4.4xlarge,43590.35,43474.52,90.23,KEYID_Diff2,different
adni,M4.4xlarge,44431.86,44321.15,90.82,KEYID_Diff12,different
adni,M4.4xlarge,44846.33,44728.94,92.1,KEYID_Diff6,different
adni,M4.4xlarge,45448,45307.93,95.92,KEYID_Diff4,different
adni,M4.4xlarge,45939.12,45824.43,93.15,KEYID_Diff8,different
adni,M4.4xlarge,46174.36,46067.34,87.01,KEYID_Diff3,different
adni,M4.4xlarge,47495.5,47377.09,90.21,KEYID_Diff13,different
adni,M4.4xlarge,48001.33,47888.61,85.92,KEYID_Diff1,different
adni,M4.4xlarge,48194.34,48085.26,82.69,KEYID_Diff9,different
adni,M4.4xlarge,48611.96,48475.51,97.57,KEYID_Diff15,different
adni,M4.4xlarge,48878.97,48759.03,90.71,KEYID_Diff10,different
adni,M4.4xlarge,49124.68,49011.89,86.11,KEYID_Diff11,different
adni,M4.4xlarge,49312.62,49195.94,87.87,KEYID_Diff5,different
adni,M4.4xlarge,49708.02,49585.57,95.53,KEYID_Diff7,different
adni,C4.xlarge,33733.29,33634.24,73.87,KEYID_Diff2,different
adni,C4.xlarge,36081.99,35978.58,79.08,KEYID_Diff4,different
adni,C4.xlarge,36292.5,36200.56,72.88,KEYID_Diff3,different
adni,C4.xlarge,36919.84,36822.12,72.13,KEYID_Diff1,different
adni,C4.8xlarge,39456.9,39230.64,133.49,KEYID_Diff35,different
adni,C4.8xlarge,39518.96,39275.43,132.09,KEYID_Diff33,different
adni,C4.8xlarge,39917.92,39668.54,136.08,KEYID_Diff14,different
adni,C4.8xlarge,39948.35,39729.82,130.62,KEYID_Diff16,different
adni,C4.8xlarge,41552.43,41323.98,135.57,KEYID_Diff25,different
adni,C4.8xlarge,41648.99,41407.74,141.59,KEYID_Diff2,different
adni,C4.8xlarge,42972.45,42712.5,146.62,KEYID_Diff22,different
adni,C4.8xlarge,43163.29,42962.81,141.79,KEYID_Diff12,different
