data,instance,real,user,system,sameness
flournoy,adrc,1547.77,1547.64,0.17,different
flournoy,adrc,1392.89,1392.64,0.16,different
flournoy,adrc,1519.87,1519.98,0.2,different
flournoy,adrc,1478.17,1478.16,0.18,different
flournoy,adrc,1458.46,1458.77,0.12,different
flournoy,adrc,1410.71,1410.88,0.15,different
flournoy,adrc,1397.73,1397.18,0.72,different
flournoy,adrc,1330.6,1330.56,0.16,different
flournoy,adrc,1204.56,1204.33,0.26,different
flournoy,adrc,1122.86,1122.6,0.16,different
flournoy,adrc,1145.19,1145.01,0.18,different
flournoy,adrc,1159.33,1159.27,0.14,different
flournoy,adrc,1095.53,1095.45,0.15,different
flournoy,adrc,1114.33,1114.1,0.22,different
flournoy,adrc,1095.3,1095.09,0.14,different
flournoy,adrc,1079.99,1079.74,0.17,different
flournoy,adrc,1542.91,1543.48,0.2,same
flournoy,adrc,1416.74,1416.79,0.26,same
flournoy,adrc,1524.98,1525.57,0.19,same
flournoy,adrc,1461.93,1462.44,0.15,same
flournoy,adrc,1452.84,1453.1,0.16,same
flournoy,adrc,1432.42,1432.95,0.18,same
flournoy,adrc,1405.59,1405.91,0.18,same
flournoy,adrc,1341.66,1341.7,0.18,same
flournoy,adrc,1198.93,1199.3,0.16,same
flournoy,adrc,1118.5,1118.56,0.12,same
flournoy,adrc,1124.66,1124.62,0.13,same
flournoy,adrc,1142.73,1142.72,0.18,same
flournoy,adrc,1074.57,1074.66,0.12,same
flournoy,adrc,1165.88,1165.89,0.16,same
flournoy,adrc,1067.98,1067.89,0.13,same
flournoy,adrc,1055.13,1054.91,0.14,same
flournoy,M4.xlarge,3172.29,3171.38,0.23,different
flournoy,M4.xlarge,2865.58,2864.77,0.22,different
flournoy,M4.xlarge,3158.71,3157.75,0.2,different
flournoy,M4.xlarge,3014.86,3014.09,0.22,different
flournoy,M4.xlarge,2969.6,2969.14,0.22,different
flournoy,M4.xlarge,2848.69,2848.24,0.19,different
flournoy,M4.xlarge,2819.55,2819.21,0.2,different
flournoy,M4.xlarge,2702.93,2702.48,0.2,different
flournoy,M4.xlarge,2401.74,2401.35,0.2,different
flournoy,M4.xlarge,2230.23,2229.88,0.2,different
flournoy,M4.xlarge,2269.72,2269.26,0.2,different
flournoy,M4.xlarge,2306.29,2305.82,0.2,different
flournoy,M4.xlarge,2169.03,2168.68,0.19,different
flournoy,M4.xlarge,2182.73,2182.4,0.2,different
flournoy,M4.xlarge,2094.43,2094.08,0.18,different
flournoy,M4.xlarge,2072.11,2071.74,0.19,different
flournoy,C4.xlarge,2658.99,2656.11,0.16,different
flournoy,C4.xlarge,2410.05,2407.18,0.17,different
flournoy,C4.xlarge,2650.03,2647.16,0.18,different
flournoy,C4.xlarge,2528.01,2525,0.17,different
flournoy,C4.xlarge,2486.53,2486.04,0.16,different
flournoy,C4.xlarge,2395.42,2395.06,0.15,different
flournoy,C4.xlarge,2384.04,2383.76,0.15,different
flournoy,C4.xlarge,2273.71,2273.47,0.16,different
flournoy,C4.xlarge,2030.14,2028.92,0.17,different
flournoy,C4.xlarge,1875.81,1875.02,0.17,different
flournoy,C4.xlarge,1911.01,1909.78,0.15,different
flournoy,C4.xlarge,1945.78,1945,0.16,different
flournoy,C4.xlarge,1831.92,1828.55,0.15,different
flournoy,C4.xlarge,1850.01,1844.41,0.17,different
flournoy,C4.xlarge,1755.57,1753.45,0.15,different
flournoy,C4.xlarge,1758.85,1757.59,0.16,different
flournoy,C4.large,2660.58,2659.91,0.15,different
flournoy,C4.large,2401.09,2400.31,0.18,different
flournoy,C4.large,2639.16,2638.65,0.16,different
flournoy,C4.large,2531.02,2530.56,0.16,different
flournoy,C4.large,2481.21,2480.66,0.16,different
flournoy,C4.large,2388.41,2388.06,0.16,different
flournoy,C4.large,2372.31,2371.84,0.16,different
flournoy,C4.large,2266.34,2265.9,0.18,different
flournoy,C4.large,2018.4,2017.98,0.15,different
flournoy,C4.large,1874.73,1874.34,0.18,different
flournoy,C4.large,1903.47,1903.09,0.15,different
flournoy,C4.large,1942.66,1942.25,0.16,different
flournoy,C4.large,1823.06,1822.6,0.17,different
flournoy,C4.large,1833.86,1833.42,0.17,different
flournoy,C4.large,1781.84,1781.28,0.15,different
flournoy,C4.large,1726.23,1725.86,0.15,different
flournoy,M4.large,3153.26,3152.21,0.21,different
flournoy,M4.large,2835.8,2834.71,0.22,different
flournoy,M4.large,3128.15,3127.55,0.2,different
flournoy,M4.large,2998.74,2997.99,0.18,different
flournoy,M4.large,2939.56,2939,0.2,different
flournoy,M4.large,2835.33,2834.57,0.2,different
flournoy,M4.large,2802.63,2802.04,0.19,different
flournoy,M4.large,2681.1,2680.4,0.2,different
flournoy,M4.large,2390.94,2390.44,0.18,different
flournoy,M4.large,2215.57,2215.01,0.18,different
flournoy,M4.large,2254.65,2254.18,0.2,different
flournoy,M4.large,2298.08,2297.55,0.19,different
flournoy,M4.large,2155.72,2154.94,0.18,different
flournoy,M4.large,2165.22,2164.18,0.21,different
flournoy,M4.large,2108.66,2108.22,0.19,different
flournoy,M4.large,2033.12,2032.31,0.19,different
flournoy,M4.4xlarge,2803.87,2801.15,0.22,different
flournoy,M4.4xlarge,2571.95,2569.21,0.22,different
flournoy,M4.4xlarge,2711.43,2708.7,0.23,different
flournoy,M4.4xlarge,2717.68,2714.98,0.2,different
flournoy,M4.4xlarge,2654.94,2652.23,0.22,different
flournoy,M4.4xlarge,2627.22,2624.46,0.23,different
flournoy,M4.4xlarge,2603.91,2601.13,0.23,different
flournoy,M4.4xlarge,2455.74,2452.72,0.25,different
flournoy,M4.4xlarge,2326.29,2323.5,0.21,different
flournoy,M4.4xlarge,2252.97,2250.23,0.22,different
flournoy,M4.4xlarge,2296.72,2293.99,0.23,different
flournoy,M4.4xlarge,2325.11,2322.36,0.21,different
flournoy,M4.4xlarge,2180.5,2177.67,0.22,different
flournoy,M4.4xlarge,2194.24,2191.44,0.22,different
flournoy,M4.4xlarge,2141.12,2138.38,0.24,different
flournoy,M4.4xlarge,2148.5,2145.68,0.23,different
flournoy,C4.4xlarge,2376.9,2373.52,0.17,different
flournoy,C4.4xlarge,2185.68,2182.07,0.19,different
flournoy,C4.4xlarge,2317.21,2313.76,0.19,different
flournoy,C4.4xlarge,2282.26,2278.84,0.19,different
flournoy,C4.4xlarge,2261.65,2258.26,0.19,different
flournoy,C4.4xlarge,2187.74,2184.24,0.18,different
flournoy,C4.4xlarge,2152.16,2148.78,0.19,different
flournoy,C4.4xlarge,2196.55,2193.08,0.18,different
flournoy,C4.4xlarge,2061.87,2058.47,0.19,different
flournoy,C4.4xlarge,1906.6,1903.2,0.19,different
flournoy,C4.4xlarge,1934.23,1930.81,0.2,different
flournoy,C4.4xlarge,1929.1,1925.66,0.21,different
flournoy,C4.4xlarge,1864.76,1861.39,0.18,different
flournoy,C4.4xlarge,1867.11,1863.68,0.17,different
flournoy,C4.4xlarge,1814.79,1811.38,0.2,different
flournoy,C4.4xlarge,1833.53,1830.03,0.2,different
flournoy,M4.large,2133.15,2132.71,0.19,same
flournoy,M4.large,2126.32,2125.73,0.18,same
flournoy,M4.large,2132.09,2131.37,0.19,same
flournoy,M4.large,2138.15,2137.12,0.2,same
flournoy,M4.large,2126.15,2125.74,0.19,same
flournoy,M4.large,2153.87,2153.29,0.2,same
flournoy,M4.large,2123.99,2123.48,0.19,same
flournoy,M4.large,2154.69,2154.27,0.17,same
flournoy,M4.large,2124.44,2123.94,0.19,same
flournoy,M4.large,2133.29,2132.84,0.18,same
flournoy,M4.large,2131.98,2131.51,0.18,same
flournoy,M4.large,2128.56,2128.04,0.19,same
flournoy,M4.large,2132.36,2131.83,0.2,same
flournoy,M4.large,2132.21,2131.8,0.19,same
flournoy,M4.large,2126.26,2125.73,0.2,same
flournoy,M4.xlarge,2096.21,2095.78,0.18,same
flournoy,M4.xlarge,2113.71,2113.23,0.2,same
flournoy,M4.xlarge,2117.88,2117.48,0.17,same
flournoy,M4.xlarge,2120.62,2120.23,0.19,same
flournoy,M4.xlarge,2120.79,2120.48,0.18,same
flournoy,M4.xlarge,2125.68,2121.29,0.2,same
flournoy,M4.xlarge,2129.54,2125.32,0.19,same
flournoy,M4.xlarge,2125.98,2122,0.2,same
flournoy,M4.xlarge,2132.02,2126.44,0.2,same
flournoy,M4.xlarge,2123.97,2123.62,0.2,same
flournoy,M4.xlarge,2116.79,2116.32,0.21,same
flournoy,M4.xlarge,2117.15,2116.71,0.19,same
flournoy,M4.xlarge,2121.91,2121.51,0.19,same
flournoy,M4.xlarge,2118.46,2118.14,0.21,same
flournoy,M4.xlarge,2119.7,2119.31,0.19,same
flournoy,M4.xlarge,2119.57,2119.2,0.18,same
flournoy,M4.xlarge,2111.39,2111.04,0.16,same
flournoy,M4.4xlarge,2150.31,2147.8,0.21,same
